Taxonomic information of Operational Taxonomic Units (OTUs) from 16S rRNA gene V4 region Illumina sequencing,,,,,,,,
POTU_ID,OTU_ID_orig,Domain,Phylum,Class,Order,Family,Genus,Species
POTU97,ced650f5a6ae4f809d09d563ba577e4b,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU98,25e8bafd09647bb39dfb95be1a302272,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU99,6cb344b1c27b8208ebe4637eafd24c0d,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU100,a21161af81071e0a5f0b2dcd7a6e6303,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__uncultured_archaeon
POTU101,30464861986332e08739f8cba01375b2,d__Bacteria,p__Chloroflexi,c__Anaerolineae,,,,
POTU102,4b73f54a6efde24e406b31398d1a7817,d__Bacteria,,,,,,
POTU103,ba1d0451bdf3277e78c811717bb8b10e,d__Bacteria,,,,,,
POTU104,c6c2dec7ce9c8df0f8a68ecd76a5ef56,d__Bacteria,,,,,,
POTU105,6451686e0e2f60f075efe4b40d6f47d2,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,,
POTU106,fbd2a3d2878f010f2ff751c53c94ee60,d__Bacteria,,,,,,
POTU107,32e4db65da8536fc02496f0f8b01fb81,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__Planctomicrobium,s__uncultured_marine
POTU108,63b0540ab514890609c649109ef47347,d__Bacteria,,,,,,
POTU109,ab01c7e959d0347d9ce7436caaa2c6a6,d__Bacteria,p__Chloroflexi,c__Anaerolineae,,,,
POTU110,4bc272225a359ffa3595dbe2d73d8ec5,d__Bacteria,p__WS2,c__WS2,o__WS2,f__WS2,g__WS2,
POTU111,66ccf016ad9e0879629ed09911dc8edd,d__Bacteria,,,,,,
POTU112,24c5a7f42523ed32b52a69dc12fab74d,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU113,b39e5652e76ccac4c69c20ccf3b2df8d,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,s__uncultured_bacterium
POTU114,936b0ca8b837cc44a58cb271ac13545d,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,s__bacterium_enrichment
POTU115,440cc0bd17b376413441ae22cbf827fd,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,s__uncultured_bacterium
POTU116,b8ab2673d2210cea770c93b59bb19199,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU117,577dfedfeebaab813009dd306f67b352,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU118,fccd32accfd903e1d654c368ed61c0ab,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU119,2d4c4b715b9b364f0f20afe3773e835c,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
